Code,Name,Pop
11010,서울,9992758
21010,부산,3613809
22010,대구,2459573
23010,인천,2770503
24010,광주,1401447
25010,대전,1467564
26010,울산,1082720
29010,세종시,129322
31011,수원시,1050602
31021,성남시,937702
31030,의정부시,420449
31041,안양시,573166
31051,부천시,812685
31060,광명시,339817
31070,평택시,430990
31080,동두천시,101937
31091,안산시,639008
31101,고양시,936193
31110,과천시,67199
31120,구리시,179419
31130,남양주시,603279
31140,오산시,192027
31150,시흥시,355565
31160,군포시,272561
31170,의왕시,154214
31180,하남시,144559
31191,용인시,904589
31200,파주시,397960
31210,이천시,203387
31220,안성시,187602
31230,김포시,310257
31240,화성시,509979
31250,광주시,282869
31260,양주시,198515
31270,포천시,162139
31320,여주시,118306
31350,연천군,53003
31370,가평군,70242
31380,양평군,118652
32010,춘천시,282086
32020,원주시,320975
32030,강릉시,228464
32040,동해시,99024
32050,태백시,53496
32060,속초시,85494
32070,삼척시,79826
32310,홍천군,80611
32320,횡성군,53712
32330,영월군,47647
32340,평창군,50650
32350,정선군,46516
32360,철원군,52014
32370,화천군,27835
32380,양구군,25188
32390,인제군,35583
32400,고성군,34477
32410,양양군,32908
33011,청주시,632307
33020,충주시,218150
33030,제천시,146838
33310,청원군,165874
33320,보은군,43917
33330,옥천군,63091
33340,영동군,61942
33390,증평군,36195
33350,진천군,69305
33360,괴산군,48718
33370,음성군,101979
33380,단양군,37395
34011,천안시,553224
34020,공주시,130047
34030,보령시,118957
34040,아산시,288138
34050,서산시,175376
34060,논산시,144012
34070,계룡시,37310
34080,당진시,174093
34310,금산군,67528
34330,부여군,90437
34340,서천군,74628
34350,청양군,42082
34360,홍성군,103820
34370,예산군,102437
34380,태안군,75482
35011,전주시,626495
35020,군산시,287048
35030,익산시,314047
35040,정읍시,136765
35050,남원시,100570
35060,김제시,112212
35310,완주군,99501
35320,진안군,35197
35330,무주군,32428
35340,장수군,29883
35350,임실군,39266
35360,순창군,38775
35370,고창군,75442
35380,부안군,72791
36010,목포시,238186
36020,여수시,300477
36030,순천시,270675
36040,나주시,106191
36060,광양시,146504
36310,담양군,59128
36320,곡성군,40200
36330,구례군,34534
36350,고흥군,96628
36360,보성군,62275
36370,화순군,77672
36380,장흥군,54088
36390,강진군,51360
36400,해남군,97296
36410,영암군,70002
36420,무안군,89041
36430,함평군,46750
36440,영광군,69182
36450,장성군,57007
36460,완도군,67872
36470,진도군,42373
36480,신안군,57488
37011,포항시,520176
37020,경주시,283348
37030,김천시,152732
37040,안동시,190744
37050,구미시,378688
37060,영주시,127991
37070,영천시,120197
37080,상주시,126837
37090,문경시,90810
37100,경산시,253423
37310,군위군,33254
37320,의성군,77640
37330,청송군,35054
37340,영양군,24316
37350,영덕군,52885
37360,청도군,57397
37370,고령군,42784
37380,성주군,55947
37390,칠곡군,120891
37400,예천군,61153
37410,봉화군,45032
37420,울진군,62324
37430,울릉군,12064
38111,창원시,1039097
38030,진주시,337945
38050,통영시,146201
38060,사천시,127969
38070,김해시,484177
38080,밀양시,125911
38090,거제시,231365
38100,양산시,272430
38310,의령군,39232
38320,함안군,76528
38330,창녕군,77962
38340,고성군,68456
38350,남해군,62625
38360,하동군,63009
38370,산청군,47324
38380,함양군,51711
38390,거창군,74556
38400,합천군,67251
39010,제주시,433015
39020,서귀포시,167399
